Région,Département,cp_ville,Gazole_prix,SP95_prix,E85_prix,GPLc_prix,E10_prix,SP98_prix,geom
Occitanie,Tarn-et-Garonne,82400 Valence,1.99,2.03,,,,,"44.109, 0.891"
Bourgogne-Franche-Comté,Jura,39220 Les Rousses,1.922,1.86,0.998,,,1.958,"46.501, 6.028"
Provence-Alpes-Côte d'Azur,Alpes-Maritimes,6340 Drap,1.99,2.07,,,,2.09,"43.757, 7.32"
Provence-Alpes-Côte d'Azur,Var,83560 Vinon-sur-Verdon,1.998,,,,2.074,2.126,"43.727, 5.811"
Bretagne,Finistère,29250 Saint-Pol-de-Léon,1.859,1.877,,0.915,1.805,1.942,"48.679, -3.999"
Hauts-de-France,Pas-de-Calais,62930 Wimereux,1.969,1.989,,,,2.019,"50.778, 1.617"
Occitanie,Pyrénées-Orientales,66300 Thuir,1.919,,,,,1.999,"42.631, 2.762"
Nouvelle-Aquitaine,Charente-Maritime,17440 Aytré,,,,,,,"46.131, -1.099"
Hauts-de-France,Somme,80110 Moreuil,1.965,,,,1.928,1.978,"49.788, 2.469"
Hauts-de-France,Somme,80270 Airaines,1.962,,,,1.882,1.949,"49.974, 1.941"
Provence-Alpes-Côte d'Azur,Vaucluse,84000 Avignon,1.959,,1.199,,1.969,,"43.943, 4.811"
Île-de-France,Yvelines,78250 Hardricourt,1.969,,,,1.943,2.023,"49.01009, 1.89914"
Île-de-France,Seine-et-Marne,77410 Claye-Souilly,1.902,1.868,0.987,,1.835,1.893,"48.944, 2.681"
Grand Est,Bas-Rhin,67500 Haguenau,1.93,,,,1.845,1.925,"48.803, 7.812"
Normandie,Manche,50560 Blainville-sur-Mer,1.975,,,,,,"49.065, -1.595"
Bourgogne-Franche-Comté,Doubs,25500 Morteau,1.949,2.049,0.997,,1.999,2.099,"47.056, 6.609"
Pays de la Loire,Mayenne,53600 Évron,1.879,1.902,0.99,,,,"48.156, -0.403"
Bourgogne-Franche-Comté,Haute-Saône,70100 Gray,1.99,,,,1.987,1.99,"47.445, 5.598"
Nouvelle-Aquitaine,Charente,16260 Chasseneuil-sur-Bonnieure,1.99,,,,1.99,1.99,"45.815, 0.443"
Hauts-de-France,Oise,60100 Creil,2.069,,,1.039,2.039,2.129,"49.251, 2.476"
Grand Est,Marne,51420 Witry-lès-Reims,1.932,1.949,,,1.925,1.979,"49.285, 4.109"
Pays de la Loire,Loire-Atlantique,44570 Trignac,2.103,,1.205,0.987,1.998,2.085,"47.312, -2.2"
Île-de-France,Yvelines,78600 Le Mesnil-le-Roi,1.97,,1.099,,1.916,1.982,"48.943, 2.129"
Occitanie,Ariège,9190 Saint-Lizier,1.945,,0.998,,1.959,1.999,"42.993, 1.141"
Île-de-France,Yvelines,78630 Morainvilliers,1.99,,1.259,1.054,1.99,1.99,"48.940636390951, 1.9546125318413001"
Île-de-France,Val-d'Oise,95380 Louvres,2.127,,,,2.098,2.151,"49.04806137, 2.50257752"
