Région,Département,cp_ville,Gazole_prix,SP95_prix,E85_prix,GPLc_prix,E10_prix,SP98_prix,geom
Provence-Alpes-Côte d'Azur,Var,83140 Six-Fours-les-Plages,1.959,,1.029,,1.899,1.989,"43.09246, 5.84441"
Grand Est,Vosges,88100 Saint-Dié-des-Vosges,1.969,,,,1.919,1.999,"48.293, 6.942"
Auvergne-Rhône-Alpes,Drôme,26450 Puy-Saint-Martin,1.925,,,,1.978,2.045,"44.6263539, 4.9677336"
Grand Est,Moselle,57910 Hambach,1.899,1.899,,1.65,1.875,1.959,"49.083, 7.04"
Bretagne,Ille-et-Vilaine,35530 Servon-sur-Vilaine,1.989,,,,,2.029,"48.102366679198, -1.4651097153223"
Occitanie,Lot,46240 Cœur de Causse,2.124,,1.244,1.06,2.111,2.172,"44.659, 1.569"
Île-de-France,Yvelines,78430 Louveciennes,1.99,,,1.024,1.99,1.99,"48.875, 2.119"
Pays de la Loire,Loire-Atlantique,44740 Batz-sur-Mer,2.101,,,,2.041,2.107,"47.278, -2.468"
Auvergne-Rhône-Alpes,Rhône,69380 Lissieu,1.969,1.939,,,1.909,1.969,"45.874, 4.748"
Auvergne-Rhône-Alpes,Allier,3000 Avermes,1.99,,,,1.99,1.99,"46.603, 3.304"
Grand Est,Aube,10700 Arcis-sur-Aube,1.99,,,,1.948,1.99,"48.536, 4.145"
Île-de-France,Val-d'Oise,95320 Saint-Leu-la-Forêt,1.939,,1.079,,,,"49.013, 2.249"
Occitanie,Hérault,34300 Agde,1.999,,1.029,,1.999,2.099,"43.286, 3.514"
Auvergne-Rhône-Alpes,Cantal,15110 Chaudes-Aigues,,,,,,,"44.85651, 3.007"
Nouvelle-Aquitaine,Corrèze,19150 Laguenne-sur-Avalouze,,,,,,,"45.24705, 1.77212"
Île-de-France,Essonne,91490 Oncy-sur-École,1.947,,0.998,,1.9,1.977,"48.39317, 2.46614"
Occitanie,Gers,32810 Preignan,1.99,1.99,,,,,"43.712, 0.622"
Nouvelle-Aquitaine,Gironde,33110 Bordeaux,1.91,,0.994,,1.87,1.975,"44.86, -0.612"
Centre-Val de Loire,Cher,18300 Saint-Satur,1.969,,1.039,,1.939,,"47.334, 2.856"
Bourgogne-Franche-Comté,Yonne,89340 Villeneuve-la-Guyard,1.989,,0.998,,1.899,1.969,"48.335, 3.065"
Normandie,Calvados,14100 Saint-Désir,1.99,,,,1.959,1.99,"49.138267, 0.171897"
Occitanie,Haute-Garonne,31400 Toulouse,1.954,,1.04,,1.946,2.026,"43.566, 1.459"
Auvergne-Rhône-Alpes,Rhône,69230 Saint-Genis-Laval,2.049,,0.999,,1.989,2.109,"45.702, 4.796"
Occitanie,Hérault,34500 Béziers,1.749,,,,1.889,1.989,"43.358, 3.243"
Auvergne-Rhône-Alpes,Isère,38500 Voiron,1.946,,,,1.913,1.993,"45.378, 5.582"
Pays de la Loire,Loire-Atlantique,44400 Rezé,,,,,,,"47.19233, -1.57051"
Bretagne,Finistère,29830 Ploudalmézeau,1.852,,0.979,,1.804,1.916,"48.54, -4.66"
Bretagne,Morbihan,56300 Pontivy,1.905,1.866,0.972,,1.807,,"48.06831, -2.94579"
Grand Est,Moselle,57320 Bouzonville,1.929,1.939,,,1.899,,"49.289, 6.533"
Hauts-de-France,Pas-de-Calais,62820 Libercourt,1.929,,,,1.879,1.964,"50.486, 2.997"
Auvergne-Rhône-Alpes,Puy-de-Dôme,63100 Clermont-Ferrand,1.924,,1.089,,1.862,1.942,"45.788, 3.058"
Nouvelle-Aquitaine,Pyrénées-Atlantiques,64140 Billère,1.99,,,1.035,1.967,1.99,"43.305882255669005, -0.40287475687442"
Occitanie,Pyrénées-Orientales,66380 Pia,1.905,,,,1.902,1.982,"42.749, 2.895"
Auvergne-Rhône-Alpes,Rhône,69800 Saint-Priest,1.909,,,,1.877,1.949,"45.7184281, 4.9528496"
Île-de-France,Seine-Saint-Denis,93300 Aubervilliers,2.089,,,,2.039,2.189,"48.911956787623, 2.3800206560828"
Auvergne-Rhône-Alpes,Ardèche,7220 Viviers,1.915,,1.089,,1.985,2.045,"44.475896399999996, 4.692095800000001"
Normandie,Seine-Maritime,76600 Le Havre,1.999,,,,1.968,2.048,"49.494, 0.097"
Nouvelle-Aquitaine,Pyrénées-Atlantiques,64780 Ossès,1.919,1.939,,,,1.969,"43.2343851, -1.2965832000000002"
Nouvelle-Aquitaine,Landes,40800 Aire-sur-l'Adour,1.99,,1.259,,1.99,1.99,"43.732, -0.239"
Île-de-France,Essonne,91150 Étampes,1.999,,1.188,0.999,1.994,2.066,"48.40881, 2.12543"
Île-de-France,Essonne,91940 Saint-Jean-de-Beauregard,1.908,,0.986,,1.815,1.892,"48.676, 2.171"
Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,13180 Gignac-la-Nerthe,1.909,1.989,,,,,"43.38753608, 5.23277519"
Bourgogne-Franche-Comté,Doubs,25430 Sancey,1.999,2.049,,,2.029,2.089,"47.306, 6.601"
Bretagne,Morbihan,56250 Saint-Nolff,1.952,,0.994,,1.884,1.974,"47.704, -2.649"
Bretagne,Côtes-d'Armor,22170 Plerneuf,1.932,,,0.939,1.877,1.968,"48.525, -2.889"
Hauts-de-France,Oise,60210 Cempuis,1.837,1.873,0.998,,1.835,,"49.666, 1.959"
Nouvelle-Aquitaine,Gironde,33990 Hourtin,1.99,,1.05,,,2.03,"45.194, -1.051"
Grand Est,Moselle,57200 Sarreguemines,1.99,,,,1.915,1.99,"49.10011, 7.05924"
Bretagne,Côtes-d'Armor,22430 Erquy,1.879,,1.019,,1.879,1.969,"48.622, -2.439"
Auvergne-Rhône-Alpes,Rhône,69550 Amplepuis,1.899,,,,1.919,2.019,"45.98163, 4.33531"
Hauts-de-France,Nord,59200 Tourcoing,1.99,,0.994,,1.955,1.99,"50.737, 3.169"
Île-de-France,Seine-et-Marne,77183 Croissy-Beaubourg,1.993,,0.998,,1.951,2.023,"48.828, 2.644"
Normandie,Eure,27400 Vironvay,2.059,,,1.068,2.109,2.109,"49.2120078, 1.2177748"
Pays de la Loire,Sarthe,72190 Sargé-lès-le-Mans,1.99,1.99,1.269,1.054,1.99,1.99,"48.05557327, 0.25581708999999997"
Auvergne-Rhône-Alpes,Isère,38150 Salaise-sur-Sanne,1.862,1.816,0.948,0.888,1.773,1.836,"45.34, 4.805"
Bretagne,Ille-et-Vilaine,35132 Vezin-le-Coquet,1.925,,0.994,,1.874,1.959,"48.105053295, -1.7408931407500001"
Pays de la Loire,Vendée,85300 Challans,1.928,,0.998,,1.845,1.929,"46.843, -1.887"
Centre-Val de Loire,Loir-et-Cher,41320 Châtres-sur-Cher,1.95,1.97,,,,1.99,"47.267591521387, 1.8833118791535"
Normandie,Orne,61400 Mortagne-au-Perche,1.969,1.975,,,,,"48.523, 0.542"
Normandie,Seine-Maritime,76300 Sotteville-lès-Rouen,1.944,,0.998,,1.867,1.964,"49.421, 1.096"
Occitanie,Haute-Garonne,31410 Capens,2.07,,,1.408,2.07,2.19,"43.336203735223, 1.2457064998659"
Nouvelle-Aquitaine,Landes,40320 Geaune,1.97,1.98,,,,,"43.632, -0.37"
Occitanie,Haute-Garonne,31170 Tournefeuille,1.949,,,,1.917,2.007,"43.582, 1.344"
Nouvelle-Aquitaine,Gironde,33680 Lacanau,1.944,,,,2.016,2.071,"45.006, -1.171"
Occitanie,Haute-Garonne,31200 Toulouse,2.07,2.07,1.08,,,,"43.656, 1.422"
Grand Est,Meurthe-et-Moselle,54800 Conflans-en-Jarnisy,1.912,,0.973,,1.87,1.943,"49.164, 5.836"
Provence-Alpes-Côte d'Azur,Var,83000 Toulon,1.99,,0.994,1.034,1.975,1.99,"43.12367, 5.93697"
Nouvelle-Aquitaine,Gironde,33450 Saint-Loubès,1.929,1.939,,,,1.969,"44.915609, -0.421856"
Hauts-de-France,Nord,59250 Halluin,1.927,,,,1.889,1.975,"50.77952, 3.12707"
Auvergne-Rhône-Alpes,Allier,3120 Lapalisse,1.95,2.04,,,,2.09,"46.248, 3.63"
Occitanie,Hérault,34070 Montpellier,1.99,,0.994,,1.978,1.99,"43.60413, 3.83911"
Nouvelle-Aquitaine,Landes,40120 Sarbazan,1.911,,1.034,,1.893,1.96,"44.019, -0.313"
Nouvelle-Aquitaine,Dordogne,24300 Nontron,1.919,1.989,,,1.949,2.029,"45.53377, 0.66609"
Bourgogne-Franche-Comté,Jura,39130 Doucier,1.919,,,,1.991,,"46.662163306389004, 5.775975038615701"
Normandie,Seine-Maritime,76680 Saint-Saëns,1.987,2.047,,,,2.086,"49.67, 1.284"
Normandie,Calvados,14970 Saint-Aubin-d'Arquenay,,,,,,,"49.26294216, -0.28047954"
Centre-Val de Loire,Loiret,45210 La Selle-en-Hermoy,1.99,,,,1.988,1.99,"48.018205, 2.88525"
Nouvelle-Aquitaine,Gironde,33730 Uzeste,1.97,1.97,,,,,"44.443, -0.327"
Hauts-de-France,Nord,59630 Bourbourg,1.919,,0.999,,1.899,1.989,"50.943849986115, 2.1978486125013"
Normandie,Seine-Maritime,76330 Port-Jérôme-sur-Seine,1.979,1.934,,,,1.964,"49.48189, 0.58305"
Grand Est,Meurthe-et-Moselle,54390 Frouard,1.916,,0.981,,1.815,1.9,"48.742, 6.149"
Île-de-France,Val-de-Marne,94110 Arcueil,1.99,,,,,,"48.804, 2.325"
Bretagne,Morbihan,56120 Guégon,1.999,2.079,,,,,"47.938038600000006, -2.5643555"
Provence-Alpes-Côte d'Azur,Alpes-Maritimes,6800 Cagnes-sur-Mer,1.906,,,,1.842,1.937,"43.654, 7.148"
Nouvelle-Aquitaine,Gironde,33410 Béguey,1.869,1.87,,,1.816,1.926,"44.646, -0.324"
Auvergne-Rhône-Alpes,Puy-de-Dôme,63610 Besse-et-Saint-Anastaise,1.969,,,,1.889,1.979,"45.509, 2.936"
Auvergne-Rhône-Alpes,Isère,38370 Saint-Clair-du-Rhône,1.84,1.877,0.979,,1.836,,"45.438, 4.77"
Auvergne-Rhône-Alpes,Ardèche,7500 Guilherand-Granges,1.897,,0.96,,1.891,1.981,"44.93828, 4.86654"
Grand Est,Vosges,88450 Vincey,1.99,,0.994,,1.99,1.99,"48.337, 6.332"
Normandie,Calvados,14450 Grandcamp-Maisy,1.959,1.945,,,1.915,,"49.385, -1.05"
Occitanie,Tarn,81130 Cagnac-les-Mines,1.898,,,,1.845,1.939,"43.989, 2.139"
Auvergne-Rhône-Alpes,Rhône,69520 Grigny,1.915,1.879,,,1.819,,"45.605, 4.782"
Pays de la Loire,Mayenne,53203 Château-Gontier-sur-Mayenne,1.904,1.859,0.976,0.886,,1.9,"47.83, -0.686"
Grand Est,Moselle,57140 Woippy,1.974,,,1.054,1.974,2.064,"49.181, 6.178"
Bretagne,Ille-et-Vilaine,35137 Pleumeleuc,1.897,,,,1.82,1.903,"48.178, -1.92"
Île-de-France,Val-d'Oise,95500 Gonesse,1.956,,0.994,,1.872,1.962,"48.9811274725, 2.4450748025399998"
Bretagne,Morbihan,56700 Hennebont,1.896,1.859,0.965,,1.803,1.878,"47.799, -3.258"
Occitanie,Aveyron,12600 Mur-de-Barrez,1.99,2.028,,,,2.052,"44.837, 2.663"
Nouvelle-Aquitaine,Lot-et-Garonne,47800 Miramont-de-Guyenne,1.908,1.925,,,,1.955,"44.59548, 0.35238"
Occitanie,Ariège,9220 Val-de-Sos,1.999,,,,2.049,2.099,"42.7699, 1.50032"
Centre-Val de Loire,Indre-et-Loire,37000 Tours,1.99,,,,1.96,1.99,"47.391, 0.697"
Auvergne-Rhône-Alpes,Ain,1710 Thoiry,1.95,,,,1.89,1.95,"46.227, 5.993"
Bourgogne-Franche-Comté,Yonne,89290 Vincelles,1.999,,,,2.049,2.119,"47.703, 3.628"
Grand Est,Haut-Rhin,68440 Habsheim,,,,,1.969,,"47.731, 7.417"
Grand Est,Meurthe-et-Moselle,54830 Gerbéviller,1.99,1.99,,,,2.02,"48.497, 6.514"
Occitanie,Tarn-et-Garonne,82400 Golfech,1.97,,,,1.98,2.05,"44.114, 0.851"
Centre-Val de Loire,Indre,36290 Paulnay,1.95,1.95,,,,,"46.851, 1.143"
Île-de-France,Yvelines,78190 Trappes,1.989,,1.019,1.059,1.899,2.019,"48.772803651345995, 1.9909172494114"
Nouvelle-Aquitaine,Lot-et-Garonne,47300 Villeneuve-sur-Lot,2.021,2.059,,,,2.089,"44.458, 0.695"
Centre-Val de Loire,Indre-et-Loire,37540 Saint-Cyr-sur-Loire,1.888,,0.972,,1.83,1.92,"47.4258570023, 0.6561790748409999"
Provence-Alpes-Côte d'Azur,Var,83990 Saint-Tropez,2.158,,,,2.229,2.269,"43.267, 6.63"
Normandie,Orne,61250 Valframbert,1.99,,1.269,1.054,1.99,1.99,"48.456738391763, 0.12705878900904"
Normandie,Manche,50150 Sourdeval,1.919,,1.029,,1.869,1.979,"48.72, -0.922"
Nouvelle-Aquitaine,Pyrénées-Atlantiques,64530 Pontacq,1.959,,,,1.959,1.999,"43.186, -0.115"
Pays de la Loire,Loire-Atlantique,44200 Nantes,1.929,1.919,1.018,,1.861,1.979,"47.206, -1.535"
Bretagne,Finistère,29120 Pont-l'Abbé,1.886,1.879,0.975,0.959,1.818,1.932,"47.86445693, -4.23442414"
Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,13370 Mallemort,1.949,1.999,1.049,,,,"43.7271262, 5.15975149"
Auvergne-Rhône-Alpes,Rhône,69400 Gleizé,,,0.974,,,,"45.979, 4.69"
Île-de-France,Yvelines,78120 Rambouillet,1.933,1.903,,0.888,1.871,1.963,"48.625, 1.83"
Grand Est,Marne,51160 Aÿ-Champagne,1.876,,,,1.87,1.953,"49.054, 4.004"
Bretagne,Ille-et-Vilaine,35520 Melesse,1.885,,0.991,,1.838,1.933,"48.214, -1.703"
Occitanie,Tarn,81000 Albi,1.99,,,1.039,1.99,1.99,"43.92, 2.132"
Auvergne-Rhône-Alpes,Isère,38120 Saint-Égrève,1.862,,,,1.765,1.819,"45.24, 5.664"
Hauts-de-France,Pas-de-Calais,62980 Vermelles,1.877,1.854,,,,1.885,"50.487, 2.746"
Pays de la Loire,Vendée,85110 Chantonnay,1.891,,0.985,0.999,1.85,1.979,"46.681, -1.049"
Provence-Alpes-Côte d'Azur,Hautes-Alpes,5500 Saint-Bonnet-en-Champsaur,1.899,1.999,,,,,"44.675773217151, 6.075892485075101"
Île-de-France,Yvelines,78960 Voisins-le-Bretonneux,1.945,1.97,,,1.932,1.991,"48.756, 2.055"
Bourgogne-Franche-Comté,Yonne,89200 Avallon,1.959,2.049,,1.099,1.999,2.079,"47.499, 3.908"
Pays de la Loire,Sarthe,72000 Le Mans,1.949,,,,1.919,1.969,"48.017, 0.219"
Pays de la Loire,Loire-Atlantique,44380 Pornichet,1.909,1.939,0.998,,1.879,1.949,"47.265467051322005, -2.3335748698712"
Bretagne,Côtes-d'Armor,22000 Saint-Brieuc,1.99,1.99,,,,,"48.498, -2.747"
Normandie,Manche,50500 Carentan-les-Marais,1.919,,0.994,0.88,1.883,1.975,"49.30901239, -1.25428308"
Hauts-de-France,Pas-de-Calais,62630 Étaples,1.879,,0.954,,1.864,1.919,"50.526, 1.628"
Grand Est,Haut-Rhin,68150 Ribeauvillé,1.871,1.847,0.979,,1.808,,"48.192, 7.338"
Hauts-de-France,Pas-de-Calais,62610 Ardres,1.929,,,,1.929,1.989,"50.853, 1.986"
Île-de-France,Yvelines,78955 Carrières-sous-Poissy,1.915,1.892,,,1.851,,"48.942, 2.029"
Auvergne-Rhône-Alpes,Haute-Savoie,74500 Publier,1.929,,0.999,0.955,1.939,1.999,"46.39, 6.525"
Occitanie,Lozère,48200 Saint-Chély-d'Apcher,1.929,1.949,0.999,,,2.015,"44.801, 3.272"
Pays de la Loire,Mayenne,53320 Loiron-Ruillé,1.919,1.949,,,,1.979,"48.066, -0.935"
Grand Est,Haut-Rhin,68700 Cernay,1.989,,,,1.948,1.99,"47.795, 7.172"
Auvergne-Rhône-Alpes,Rhône,69590 Saint-Symphorien-sur-Coise,1.919,1.949,1.109,,1.899,,"45.637, 4.462"
Hauts-de-France,Nord,59136 Wavrin,1.99,,0.994,,1.955,1.99,"50.58, 2.933"
Île-de-France,Seine-et-Marne,77330 Ozoir-la-Ferrière,1.999,2.029,,,,2.129,"48.773, 2.676"
Bretagne,Côtes-d'Armor,22160 Callac,1.929,,0.998,,1.874,1.947,"48.407, -3.434"
Occitanie,Haute-Garonne,31530 Saint-Paul-sur-Save,1.939,,0.998,,1.859,1.959,"43.698, 1.219"
Centre-Val de Loire,Indre,36210 Chabris,1.929,1.959,,,1.899,1.999,"47.248, 1.638"
Occitanie,Hérault,34170 Castelnau-le-Lez,1.929,,0.999,,1.909,2.059,"43.623, 3.898"
Bourgogne-Franche-Comté,Côte-d'Or,21300 Chenôve,1.872,,,0.899,1.858,1.928,"47.285, 5.022"
Centre-Val de Loire,Loiret,45300 Pithiviers,1.898,1.878,,0.969,1.863,1.911,"48.18391, 2.25072"
Île-de-France,Seine-et-Marne,77300 Fontainebleau,2.019,,1.009,1.099,1.989,2.089,"48.408, 2.688"
Occitanie,Hérault,34990 Juvignac,1.999,,0.999,0.999,1.989,2.099,"43.614, 3.809"
Nouvelle-Aquitaine,Dordogne,24340 Mareuil en Périgord,1.949,1.979,,,,1.999,"45.447, 0.467"
Bourgogne-Franche-Comté,Doubs,25210 Le Russey,1.949,,,,1.999,,"47.1579743772, 6.731228006769999"
Nouvelle-Aquitaine,Vienne,86000 Poitiers,2.106,,1.102,,2.034,,"46.576, 0.345"
Nouvelle-Aquitaine,Lot-et-Garonne,47450 Montgaillard-en-Albret,1.99,1.99,0.994,,,,"44.2204445117, 0.30730385075"
Hauts-de-France,Nord,59610 Fourmies,,,,,,,"50.01554, 4.05695"
Auvergne-Rhône-Alpes,Isère,38200 Vienne,1.941,1.916,,,,1.956,"45.519, 4.919"
Auvergne-Rhône-Alpes,Rhône,69009 Lyon,1.905,,1.099,,1.877,1.957,"45.781, 4.801"
Centre-Val de Loire,Eure-et-Loir,28130 Maintenon,1.929,,1.053,,1.91,1.995,"48.58726, 1.57307"
Occitanie,Tarn-et-Garonne,82710 Bressols,2.094,,,,2.074,2.184,"43.968, 1.339"
Île-de-France,Hauts-de-Seine,92210 Saint-Cloud,1.991,,,,1.935,2.015,"48.842, 2.202"
Provence-Alpes-Côte d'Azur,Vaucluse,84330 Caromb,1.929,,,,1.989,2.04,"44.100535040429, 5.1021415196765"
Hauts-de-France,Pas-de-Calais,62138 Billy-Berclau,1.929,1.999,,,,1.989,"50.517025582202, 2.8646137619018"
Nouvelle-Aquitaine,Corrèze,19130 Objat,1.939,,,,1.914,1.99,"45.245, 1.413"
Île-de-France,Val-de-Marne,94380 Bonneuil-sur-Marne,1.986,,,,1.948,2.028,"48.765, 2.478"
Île-de-France,Val-d'Oise,95570 Moisselles,1.939,,,,1.879,1.959,"49.041, 2.343"
Hauts-de-France,Nord,59210 Coudekerque-Branche,1.925,,1.054,0.953,1.929,1.995,"51.016, 2.382"
Pays de la Loire,Sarthe,72110 Saint-Cosme-en-Vairais,1.899,,,,1.889,1.969,"48.277, 0.461"
Auvergne-Rhône-Alpes,Haute-Loire,43200 Yssingeaux,1.999,1.999,,,,2.059,"45.14693, 4.12796"
Auvergne-Rhône-Alpes,Puy-de-Dôme,63118 Cébazat,1.927,,,,1.842,1.939,"45.836, 3.095"
Bourgogne-Franche-Comté,Saône-et-Loire,71300 Montceau-les-Mines,,,,,,,"46.691, 4.355"
Nouvelle-Aquitaine,Dordogne,24450 La Coquille,1.939,1.949,,,,1.989,"45.539, 0.976"
Île-de-France,Essonne,91700 Sainte-Geneviève-des-Bois,1.99,,,,1.99,1.99,"48.642180599999996, 2.3286010999999998"
Île-de-France,Essonne,91660 Le Mérévillois,1.969,,0.998,,1.939,2.19,"48.313, 2.076"
Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,13011 Marseille,1.927,,,,1.96,1.979,"43.299021858551, 5.5000310795341"
Occitanie,Ariège,9140 Oust,1.99,,0.994,,1.963,1.99,"42.883, 1.215"
Centre-Val de Loire,Loir-et-Cher,41000 Blois,1.943,1.945,,,,2.029,"47.59557563159, 1.3010717505701"
Hauts-de-France,Nord,59110 La Madeleine,1.955,,,,1.955,1.937,"50.655, 3.06"
Normandie,Seine-Maritime,76580 Le Trait,1.98,1.985,,,,2.011,"49.483, 0.807"
Normandie,Calvados,14440 Douvres-la-Délivrande,1.99,,,,1.949,,"49.28881, -0.37839"
Auvergne-Rhône-Alpes,Haute-Savoie,74210 Doussard,2.053,2.07,,,,,"45.776, 6.222"
Nouvelle-Aquitaine,Lot-et-Garonne,47250 Samazan,1.99,,0.994,,1.95,1.99,"44.431, 0.129"
Hauts-de-France,Pas-de-Calais,62220 Carvin,1.914,,0.998,,1.837,,"50.483, 2.965"
Île-de-France,Hauts-de-Seine,92110 Clichy,1.967,,1.089,,1.931,1.99,"48.907, 2.301"
Occitanie,Gard,30310 Vergèze,1.886,1.937,,,1.889,1.959,"43.742, 4.221"
Pays de la Loire,Vendée,85170 Le Poiré-sur-Vie,1.912,,,,1.879,1.949,"46.765450134774994, -1.5048346309662"
Pays de la Loire,Vendée,85120 Antigny,2.028,,1.187,0.987,1.998,2.058,"46.64, -0.754"
Île-de-France,Seine-et-Marne,77690 Montigny-sur-Loing,1.949,1.999,1.029,,1.945,2.045,"48.335633428284005, 2.732221899292"
Auvergne-Rhône-Alpes,Haute-Savoie,74120 Demi-Quartier,1.859,,,,1.999,2.079,"45.871499809675996, 6.6305351996824005"
Auvergne-Rhône-Alpes,Cantal,15000 Aurillac,1.895,,,0.979,1.891,1.967,"44.9091521744, 2.42441831845"
Auvergne-Rhône-Alpes,Rhône,69120 Vaulx-en-Velin,2.03,2.06,,,,2.09,"45.767825073806, 4.9354367858569"
Bretagne,Finistère,29610 Plouigneau,1.907,2.022,,,1.982,,"48.57, -3.708"
Nouvelle-Aquitaine,Pyrénées-Atlantiques,64000 Pau,1.94,,0.994,0.919,1.88,1.978,"43.319, -0.378"
Bretagne,Finistère,29570 Camaret-sur-Mer,1.96,1.963,,,,2.086,"48.27454, -4.59482"
Corse,Corse-du-Sud,20131 Pianottoli-Caldarello,1.99,1.99,,,,,"41.491854902513, 9.0555939368657"
Île-de-France,Val-de-Marne,94270 Le Kremlin-Bicêtre,1.965,,,,1.879,1.965,"48.81193, 2.3618"
Île-de-France,Seine-et-Marne,77350 Le Mée-sur-Seine,1.954,,,,1.884,1.979,"48.5430139632, 2.63315746474"
Bretagne,Côtes-d'Armor,22250 Broons,1.899,1.899,,,,1.945,"48.315, -2.25"
Île-de-France,Seine-Saint-Denis,93190 Livry-Gargan,1.989,,,,1.989,2.109,"48.912, 2.519"
Occitanie,Gard,30300 Beaucaire,1.89,,,,1.874,1.95,"43.817, 4.616"
Bretagne,Morbihan,56320 Le Faouët,1.929,1.939,,,,1.989,"48.03187, -3.49344"
Île-de-France,Yvelines,78540 Vernouillet,1.977,1.919,,,1.884,,"48.97561, 1.99535"
Bourgogne-Franche-Comté,Doubs,25220 Roche-lez-Beaupré,1.919,1.949,,,1.919,1.999,"47.273, 6.102"
Auvergne-Rhône-Alpes,Ardèche,7200 Vogüé,1.965,1.965,,,,,"44.538, 4.417"
Grand Est,Haut-Rhin,68200 Mulhouse,1.929,,0.999,,1.861,1.962,"47.762, 7.326"
Nouvelle-Aquitaine,Creuse,23300 La Souterraine,1.965,1.98,,,,1.995,"46.234, 1.483"
Nouvelle-Aquitaine,Lot-et-Garonne,47200 Marmande,1.899,1.889,,1.049,,1.938,"44.484, 0.184"
Centre-Val de Loire,Loiret,45200 Amilly,1.99,,,,1.99,1.99,"47.978078161297006, 2.7601552550045"
Île-de-France,Paris,75013 Paris,1.99,,1.169,,1.99,1.99,"48.817, 2.36"
Nouvelle-Aquitaine,Vienne,86380 Saint-Martin-la-Pallu,1.939,,,,1.999,2.149,"46.7305146, 0.3067372"
Bourgogne-Franche-Comté,Nièvre,58310 Saint-Amand-en-Puisaye,1.985,1.985,1.07,,,,"47.52885, 3.07024"
Occitanie,Haute-Garonne,31290 Avignonet-Lauragais,1.99,1.99,,,,,"43.369, 1.775"
Nouvelle-Aquitaine,Landes,40100 Dax,1.847,1.912,,,1.849,1.918,"43.708, -1.045"
Normandie,Seine-Maritime,76700 Gonfreville-l'Orcher,1.898,,0.975,1.042,1.821,1.894,"49.509, 0.226"
Normandie,Seine-Maritime,76200 Dieppe,1.912,1.882,0.994,,1.869,1.952,"49.90522, 1.07678"
Île-de-France,Val-d'Oise,93420 Gonesse,2.009,,,,1.969,2.089,"48.97468, 2.4964"
Île-de-France,Val-d'Oise,95870 Bezons,1.99,,0.994,,1.99,1.99,"48.936888607759, 2.2069830018219"
Nouvelle-Aquitaine,Dordogne,24000 Périgueux,1.969,,,,1.899,1.999,"45.182, 0.721"
Île-de-France,Yvelines,78920 Ecquevilly,2.059,,1.039,1.089,2.029,2.149,"48.971, 1.919"
Hauts-de-France,Nord,59550 Landrecies,1.941,1.979,,,,1.984,"50.124, 3.689"
Île-de-France,Hauts-de-Seine,92290 Châtenay-Malabry,2.139,,1.029,,2.089,2.219,"48.763, 2.278"
Grand Est,Vosges,88000 Épinal,1.892,,,0.889,1.89,1.966,"48.16057, 6.45091"
Bretagne,Morbihan,56400 Auray,1.899,1.88,,,,1.922,"47.663, -3.006"
Provence-Alpes-Côte d'Azur,Alpes-Maritimes,6530 Peymeinade,1.987,,,,1.92,1.99,"43.64464, 6.88496"
Auvergne-Rhône-Alpes,Cantal,15500 Massiac,1.945,1.98,,,,2.045,"45.254, 3.197"
Centre-Val de Loire,Loir-et-Cher,41600 Lamotte-Beuvron,1.979,1.979,,,,1.989,"47.601, 2.027"
Bourgogne-Franche-Comté,Doubs,25110 Baume-les-Dames,1.92,,0.999,,1.919,1.999,"47.352, 6.35"
Pays de la Loire,Loire-Atlantique,44150 Ancenis-Saint-Géréon,1.99,2.04,,0.96,,2.07,"47.397, -1.19"
Nouvelle-Aquitaine,Dordogne,24400 Saint-Médard-de-Mussidan,1.909,1.989,,1.0,1.889,1.999,"45.041, 0.352"
Pays de la Loire,Loire-Atlantique,49230 Vallet,1.919,1.959,,,,1.999,"47.1552442, -1.2097638"
Grand Est,Vosges,88220 Xertigny,1.949,1.979,,,1.949,,"48.045, 6.398"
Pays de la Loire,Maine-et-Loire,49480 Verrières-en-Anjou,2.124,,1.014,1.06,2.124,2.224,"47.5, -0.491"
Nouvelle-Aquitaine,Vienne,86100 Châtellerault,1.919,,0.998,,1.879,1.949,"46.818426785453994, 0.52557115196228"
Nouvelle-Aquitaine,Lot-et-Garonne,47480 Pont-du-Casse,1.99,1.99,0.994,,,,"44.226, 0.672"
Auvergne-Rhône-Alpes,Ain,1350 Culoz,1.919,1.999,,,,2.019,"45.847332623161996, 5.7869158896959005"
Nouvelle-Aquitaine,Pyrénées-Atlantiques,64200 Biarritz,1.892,1.903,,,1.855,1.947,"43.464, -1.539"
Bretagne,Finistère,29450 Sizun,1.909,1.949,,,,1.999,"48.411, -4.087"
Centre-Val de Loire,Cher,18000 Bourges,1.945,1.989,,,,1.999,"47.07082, 2.37747"
Bretagne,Côtes-d'Armor,22400 Lamballe-Armor,1.909,,0.998,,1.849,1.929,"48.462, -2.504"
Auvergne-Rhône-Alpes,Ardèche,7000 Privas,1.959,,0.998,,1.899,1.999,"44.727, 4.597"
Occitanie,Aude,11430 Gruissan,1.979,2.009,1.0,1.017,,2.049,"43.108, 3.091"
Occitanie,Tarn,81190 Pampelonne,1.919,,1.109,,1.909,,"44.081, 2.235"
Auvergne-Rhône-Alpes,Cantal,15300 Murat,1.899,,,,1.889,1.989,"45.10616, 2.86291"
